Año;Trimestre;Provincia;+ 0 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;Total;Accesos por cada 100 hab;Accesos por cada 100 hogares;Mbps (Media de bajada)
2016;3;Chaco;73431;13746;2022;217;0.0;89416;8;28.91;7
2016;3;Chubut;80705;0;0;0;0.0;80705;11;36.18;3
2016;3;Córdoba;532440;99225;11691;1322;0.0;644678;18;58.24;6
2016;3;Corrientes;76867;10006;1263;210;0.0;88346;8;31.07;6
2016;3;Entre Ríos;161934;17737;1307;248;0.0;181226;14;45.44;6
2016;3;Formosa;25545;3658;648;10;0.0;29861;5;18.64;5
2016;3;Jujuy;40532;1978;31;0;0.0;42541;6;22.61;4
2016;3;La Pampa;66368;224;114;11;0.0;66717;20;61.73;3
2016;3;La Rioja;15360;1562;11;2;0.0;16935;5;17.07;5
2016;3;Mendoza;178306;48;5;17;0.0;178376;9;32.09;4
2016;3;Misiones;79305;17043;1559;91;0.0;97998;8;29.91;7
2016;3;Neuquén;91142;12541;2118;225;0.0;106026;18;60.21;5
2016;3;Río Negro;97929;5953;790;99;0.0;104771;14;46.39;4
2016;3;Salta;99472;8099;197;50;0.0;107818;8;32.96;5
2016;3;San Juan;58830;0;0;2;0.0;58832;7;27.32;3
2016;3;San Luis;14088;0;1;2;0.0;14091;3;9.63;4
2016;3;Santa Cruz;32336;52;9;0;0.0;32397;8;26.84;4
2016;3;Santa Fe;486722;69864;10210;1308;0.0;568104;17;52.67;6
2016;3;Santiago Del Estero;34086;2497;9;0;0.0;36592;4;15.33;5
2016;3;Tierra Del Fuego;35381;0;0;0;0.0;35381;20;68.94;3
2016;3;Tucumán;136862;13150;1288;4;0.0;151304;9;37.9;6
2016;2;Buenos Aires;2730365;334723;31494;11933;0.0;3108515;18;59.34;5
2016;2;Capital Federal;1011218;213010;19597;13477;0.0;1257302;46;120.04;7
2016;2;Catamarca;25060;1496;47;1;0.0;26604;7;26.07;4
2016;2;Chaco;74429;12090;1571;201;0.0;88291;8;28.59;6
2016;2;Chubut;79846;0;0;0;0.0;79846;11;36.12;3
2016;2;Córdoba;566835;82618;8355;1242;0.0;659050;18;57.55;6
2016;2;Corrientes;77175;8851;803;191;0.0;87020;8;30.58;6
2016;2;Entre Ríos;173019;15522;849;205;0.0;189595;13;44.74;5
2016;2;Formosa;25015;3218;593;10;0.0;28836;5;19.37;5
2016;2;Jujuy;41743;1750;3;0;0.0;43496;6;21.89;4
2016;2;La Pampa;74988;119;96;11;0.0;75214;20;60.44;3
2016;2;La Rioja;15394;1344;3;5;0.0;16746;4;16.88;5
2016;2;Mendoza;177450;44;5;20;0.0;177519;9;32.13;4
2016;2;Misiones;80843;14820;1073;96;0.0;96832;8;29.24;6
2016;2;Neuquén;93044;10241;1285;208;0.0;104778;18;59.1;5
2016;2;Río Negro;99648;4877;520;86;0.0;105131;14;46.24;4
2016;2;Salta;101917;7129;140;49;0.0;109235;8;32.08;5
2016;2;San Juan;57872;0;0;4;0.0;57876;7;27.34;3
2016;2;San Luis;13947;0;1;2;0.0;13950;3;9.6;4
2016;2;Santa Cruz;32407;20;0;0;0.0;32427;8;26.73;4
2016;2;Santa Fe;520276;60469;6509;1277;0.0;588531;16;52.44;5
2016;2;Santiago Del Estero;35560;2108;1;0;0.0;37669;4;15.89;4
2016;2;Tierra Del Fuego;39075;0;0;0;0.0;39075;20;67.72;3
2016;2;Tucumán;136582;11310;1032;2;0.0;148926;9;37.24;5
2016;1;Buenos Aires;2609920;247372;8315;9529;0.0;2875136;18;57.34;5
2016;1;Capital Federal;1093709;192644;6577;10838;0.0;1303768;44;115.16;6
2016;1;Catamarca;25011;1334;42;1;0.0;26388;7;25.91;4
2016;1;Chaco;74641;10587;1238;184;0.0;86650;8;28.08;6
2016;1;Chubut;78651;0;0;0;0.0;78651;11;36.09;3
2016;1;Córdoba;539847;66455;4143;1039;0.0;611484;17;55.28;5
2016;1;Corrientes;76927;7911;526;170;0.0;85534;8;30.08;5
2016;1;Entre Ríos;159854;14057;457;165;0.0;174533;13;43.85;5
2016;1;Formosa;24861;2906;544;5;0.0;28316;5;19.04;5
2016;1;Jujuy;38672;1623;0;0;0.0;40295;5;21.41;4
2016;1;La Pampa;63623;78;71;11;0.0;63783;19;57.84;3
2016;1;La Rioja;15432;1254;2;3;0.0;16691;4;16.83;5
2016;1;Mendoza;175679;43;5;17;0.0;175744;9;32.12;4
2016;1;Misiones;78717;13363;779;68;0.0;92927;8;28.37;6
2016;1;Neuquén;90246;7893;143;171;0.0;98453;17;55.75;4
2016;1;Río Negro;97517;4246;77;81;0.0;101921;14;45.84;4
2016;1;Salta;95278;6643;119;31;0.0;102071;8;31.32;5
2016;1;San Juan;56765;0;0;2;0.0;56767;7;27.33;3
2016;1;San Luis;13657;0;1;2;0.0;13660;3;9.59;4
2016;1;Santa Cruz;32393;0;0;0;0.0;32393;8;26.87;3
2016;1;Santa Fe;495699;51293;3754;1063;0.0;551809;16;51.28;5
2016;1;Santiago Del Estero;36496;1898;0;0;0.0;38394;4;16.21;4
2016;1;Tierra Del Fuego;33304;0;0;0;0.0;33304;20;65.83;3
2016;1;Tucumán;135696;10046;871;0;0.0;146613;9;36.72;5
2015;4;Buenos Aires;2636045;240188;3835;8180;0.0;2888246;18;58.29;5
2015;4;Capital Federal;1137827;198635;3087;10899;0.0;1350450;45;118.13;6
2015;4;Catamarca;25118;1313;39;1;0.0;26471;7;26.24;4
2015;4;Chaco;75166;10092;1136;159;0.0;86553;8;28.35;6
2015;4;Chubut;78448;0;0;0;0.0;78448;11;36.89;3
2015;4;Córdoba;554354;67151;3336;1088;0.0;625929;17;57.36;5
